
CAEN Rev.2  (activitati ale economiei nationale), Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea VEST, Anul 2011, Mii persoane, 12.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea VEST, Anul 2012, Mii persoane, 13.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Regiunea VEST, Anul 2013, Mii persoane, 13.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arad, Anul 2008, Mii persoane, 2.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arad, Anul 2009, Mii persoane, 2.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arad, Anul 2010, Mii persoane, 2.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arad, Anul 2011, Mii persoane, 2.7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arad, Anul 2012, Mii persoane, 2.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Arad, Anul 2013, Mii persoane, 2.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2008, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2009, Mii persoane, 2.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2010, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2011, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2012, Mii persoane, 2.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Caras-Severin, Anul 2013, Mii persoane, 2.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2008, Mii persoane, 3.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2009, Mii persoane, 3.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2010, Mii persoane, 4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2011, Mii persoane, 4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2012, Mii persoane, 4.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Hunedoara, Anul 2013, Mii persoane, 4.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2008, Mii persoane, 4.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2009, Mii persoane, 4.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2010, Mii persoane, 4.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2011, Mii persoane, 4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2012, Mii persoane, 4.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Total, Timis, Anul 2013, Mii persoane, 4.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, TOTAL, Anul 2008, Mii persoane, 29.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, TOTAL, Anul 2009, Mii persoane, 30.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, TOTAL, Anul 2010, Mii persoane, 30.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, TOTAL, Anul 2011, Mii persoane, 30.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, TOTAL, Anul 2012, Mii persoane, 28.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, TOTAL, Anul 2013, Mii persoane, 27.8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA UNU, Anul 2008, Mii persoane, 6.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA UNU, Anul 2009, Mii persoane, 6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA UNU, Anul 2010, Mii persoane, 6.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA UNU, Anul 2011, Mii persoane, 6.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA UNU, Anul 2012, Mii persoane, 5.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA UNU, Anul 2013, Mii persoane, 6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-VEST, Anul 2008, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-VEST, Anul 2009, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-VEST, Anul 2010, Mii persoane, 3.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-VEST, Anul 2011, Mii persoane, 3.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-VEST, Anul 2012, Mii persoane, 2.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-VEST, Anul 2013, Mii persoane, 2.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bihor, Anul 2008, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bihor, Anul 2009, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bihor, Anul 2010, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bihor, Anul 2011, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bihor, Anul 2012, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bihor, Anul 2013, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bistrita-Nasaud, Anul 2008, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bistrita-Nasaud, Anul 2009, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bistrita-Nasaud, Anul 2010, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bistrita-Nasaud, Anul 2011, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bistrita-Nasaud, Anul 2012, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bistrita-Nasaud, Anul 2013, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Cluj, Anul 2008, Mii persoane, 1.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Cluj, Anul 2009, Mii persoane, 1.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Cluj, Anul 2010, Mii persoane, 1.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Cluj, Anul 2011, Mii persoane, 1.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Cluj, Anul 2012, Mii persoane, 1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Cluj, Anul 2013, Mii persoane, 1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Maramures, Anul 2008, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Maramures, Anul 2009, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Maramures, Anul 2010, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Maramures, Anul 2011, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Maramures, Anul 2012, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Maramures, Anul 2013, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Satu Mare, Anul 2008, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Satu Mare, Anul 2009, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Satu Mare, Anul 2010, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Satu Mare, Anul 2011, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Satu Mare, Anul 2012, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Satu Mare, Anul 2013, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Salaj, Anul 2008, Mii persoane, .2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Salaj, Anul 2009, Mii persoane, .2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Salaj, Anul 2010, Mii persoane, .2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Salaj, Anul 2011, Mii persoane, .2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Salaj, Anul 2012, Mii persoane, .2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Salaj, Anul 2013, Mii persoane, .2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea CENTRU, Anul 2008, Mii persoane, 3.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea CENTRU, Anul 2009, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea CENTRU, Anul 2010, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea CENTRU, Anul 2011, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea CENTRU, Anul 2012, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea CENTRU, Anul 2013, Mii persoane, 3.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Alba, Anul 2008, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Alba, Anul 2009, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Alba, Anul 2010, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Alba, Anul 2011, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Alba, Anul 2012, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Alba, Anul 2013, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Brasov, Anul 2008, Mii persoane, .9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Brasov, Anul 2009, Mii persoane, .8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Brasov, Anul 2010, Mii persoane, .8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Brasov, Anul 2011, Mii persoane, .8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Brasov, Anul 2012, Mii persoane, .9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Brasov, Anul 2013, Mii persoane, .9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Covasna, Anul 2008, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Covasna, Anul 2009, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Covasna, Anul 2010, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Covasna, Anul 2011, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Covasna, Anul 2012, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Covasna, Anul 2013, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Harghita, Anul 2008, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Harghita, Anul 2009, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Harghita, Anul 2010, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Harghita, Anul 2011, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Harghita, Anul 2012, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Harghita, Anul 2013, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Mures, Anul 2008, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Mures, Anul 2009, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Mures, Anul 2010, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Mures, Anul 2011, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Mures, Anul 2012, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Mures, Anul 2013, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Sibiu, Anul 2008, Mii persoane, .4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Sibiu, Anul 2009, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Sibiu, Anul 2010, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Sibiu, Anul 2011, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Sibiu, Anul 2012, Mii persoane, .5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Sibiu, Anul 2013, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA DOI, Anul 2008, Mii persoane, 8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA DOI, Anul 2009, Mii persoane, 8.1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA DOI, Anul 2010, Mii persoane, 7.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA DOI, Anul 2011, Mii persoane, 7.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA DOI, Anul 2012, Mii persoane, 7.9
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, MACROREGIUNEA DOI, Anul 2013, Mii persoane, 7.6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-EST, Anul 2008, Mii persoane, 3.4
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-EST, Anul 2009, Mii persoane, 3.5
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-EST, Anul 2010, Mii persoane, 3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-EST, Anul 2011, Mii persoane, 3.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-EST, Anul 2012, Mii persoane, 3.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Regiunea NORD-EST, Anul 2013, Mii persoane, 3.3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bacau, Anul 2008, Mii persoane, .8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bacau, Anul 2009, Mii persoane, .8
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bacau, Anul 2010, Mii persoane, .6
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bacau, Anul 2011, Mii persoane, .7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bacau, Anul 2012, Mii persoane, .7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Bacau, Anul 2013, Mii persoane, .7
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Botosani, Anul 2008, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Botosani, Anul 2009, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Botosani, Anul 2010, Mii persoane, .2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Botosani, Anul 2011, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Botosani, Anul 2012, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Botosani, Anul 2013, Mii persoane, .3
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Iasi, Anul 2008, Mii persoane, 1.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Iasi, Anul 2009, Mii persoane, 1.2
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Iasi, Anul 2010, Mii persoane, 1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Iasi, Anul 2011, Mii persoane, 1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Iasi, Anul 2012, Mii persoane, 1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Iasi, Anul 2013, Mii persoane, 1
E  DISTRIBUTIA APEI; SALUBRITATE  GESTIONAREA DESEURILOR  ACTIVITATI DE DECONTAMINARE, Feminin, Neamt, Anul 2008, Mii persoane, .4
